"active_selections","controls whether or not PyMOL relies upon the concept of an active selection.","boolean","on","0"
"alignment_as_cylinders","If true, distance measure dashes are drawn as high-quality cylinders instead of lines.","boolean","off","0"
"all_states","controls whether or not all molecular states are visible.","boolean","off","1"
"ambient","(float 0.0-1.0, default: 0.14) controls the ambient lighting level.","","","0"
"ambient_occlusion_mode","Controls which method is used to draw ambient occlusion. 0=disabled, 1=atom-based occlusion, 2=triangle-based occlusion","integer","0","2"
"ambient_occlusion_scale","The scale by which ambient occlusion values are modified. The larger this value the more hinting is applied.","float","25.0","2"
"ambient_occlusion_smooth","Controls whether or not ambient occlusion uses smoothing of nearby values.","int","10","2"
"anaglyph_mode","implements the following 4 anaglyph modes (see also [[setting:anaglyph_mode|Anaglyph stereo mode settings]])

0 = true anaglyph
1 = gray
2 = color
3 = half-color
4 = optimized (default)","integer","4","0"
"angle_color","Controls the coloring of angle measures.","color","default","2"
"angle_label_position","(float: >0.0, default: 0.5) controls where the angle label is drawn.","","","2"
"angle_size","(float: >0.0, default: 0.6666) controls how far out the angle indicator is drawn.","","","2"
"animation","controls whether or not the camera is smoothly interpolated between views.","boolean","on","0"
"animation_duration","controls the default duration of animation for changes in view (note: [[setting:scene|scene_animation_duration]] controls the timing of scene transitions. ","float","0.75","0"
"antialias","(integer 0-4, default: 1) general settings for controlling antialiasing. 

0 = no antialiasing
1 = adaptive antialiasing
2 = 2-times uniform oversampling plus adaptive antialiasing
3 = 3-times uniform oversampling plus adaptive antialiasing
4 = 4-times uniform oversampling plus adaptive antialiasing","","","0"
"assembly","For loading mmCIF files: Read assembly (biological unit) instead of asymmetric unit","string","''","0"
"async_builds","controls whether or not geometry builds should be performed in parallel on multithreaded machines.  WARNING: This setting can create instability and should be used with caution.","boolean","off","1"
"ati_bugs","Controls whether or not PyMOL adapts its rendering to avoid known ATI bugs.","yes","false","0"
"atom_name_wildcard","controls the wildcard character used when matching atom names.  If this string is empty, then the normal wildcard setting will be used.  The practical purpose of this setting is to disable use of asterisks as an atom name wildcard when PDB structures are loaded with asterisks in atom names.","string","''","1"
"atom_type_format","Sets the label format for label types. Supported options are: mol2, sybyl, macromodel, mmd, sdf.

mol2
sybyl (synonym for mol2)
macromodel
mmd (synonym for macromodel)
sdf (default)","string","mol2","0"
"auto_classify_atoms","controls whether or not PyMOL spends extra CPU cycles classifying atoms as polymer, organic, solvent, or inorganic as well as locating per-residue guide atoms.","boolean","on","0"
"auto_color","controls whether or not new objects are given a different color for their carbon atoms.","boolean","on","0"
"auto_copy_images","controls whether or not PyMOL automatically copies images from the OpenGL viewport into the system's clipboard.","boolean","on","0"
"auto_defer_atom_count","Structures with fewer than ''auto_defer_atom_count'' atoms are automatically labeled upon loading. Set to 0 to auto label none.","integer","0","0"
"auto_defer_builds","Multistate models with fewer than ''auto_defer_builds'' number of states will automatically be preprocessed for geometry and rendering. Set to -1 to process all states regardless of count.","integer","500","0"
"auto_dss","controls whether or not secondary structure is automatically computed for structure which lack such definitions.","boolean","on","0"
"auto_hide_selections","controls whether or not PyMOL automatically disables selections when new objects or selections are created.","boolean","on","0"
"auto_indicate_flags","controls whether or not PyMOL automatically indicates flagged atoms when the \"flag\" command is issue.","boolean","on","0"
"auto_number_selections","controls whether PyMOL gives each new unnamed selection a unique name or whether it simply uses \"sele\".","boolean","off","0"
"auto_overlay","controls whether or not overlay text is automatically shown/hidden in response to user actions.","boolean","off","0"
"auto_remove_hydrogens","controls whether or not hydrogens are automatically removed when building.","boolean","off","0"
"auto_rename_duplicate_objects","if on, PyMOL will rename new objects that have the same name as an existing object; if off, PyMOL will overwrite the existing object.","boolean","off","0"
"auto_sculpt","controls whether or not sculpting is automatically activated when an atom is moved.","boolean","off","0"
"auto_show_lines","controls whether or not the lines representation is automatically shown for new objects.","boolean","on","0"
"auto_show_nonbonded","control whether or not the nonbonded representation is automatically shown for new objects.","boolean","on","0"
"auto_show_selections","controls whether or not PyMOL automatically enables each new selection.","boolean","on","0"
"auto_show_spheres","controls whether or not the sphere representation is automatically shown for new objects.","boolean","off","0"
"auto_zoom","controls automatic zooming behavior:

0 = no zoom
1 = zoom new objects
2 = zoom always
3 = zoom current state always
4 = zoom all objects
5 = zoom first object only ","integer","-1","0"
"autoclose_dialogs","Unused setting.","boolean","on","0"
"axis","- The cmd can be one of: 'x', 'y', or 'z'.","","","0"
"backface_cull","controls whether or not the raytracer renders backfacing triangles.","boolean","on","0"
"batch_prefix","contains a prefix to be used for temporary files.","string","tmp_pymol","0"
"bg_gradient","Controls whether or not the background is gradient colored. If yes, then bg_rgb_top and bg_rgb_bottom will be used to set the colors.","boolean","off","0"
"bg_image_filename","if set controls the image used in the background.","string","''","0"
"bg_image_linear","controls the sampling of the texture for the background image.  If off, then the nearest pixel is set, otherwise, a linear interpolation is used.","boolean","on","0"
"bg_image_mode","Determines how the background image is drawn.  0 - stretched, 1 - centered, 2 - tiled, 3 - centered and repeated","integer","0","0"
"bg_image_tilesize","This setting is used when bg_image_mode=3 and defines the size of each tile (in x and y, z is not used).","vector","[100.0, 100.0, 0.0]","0"
"bg_rgb","controls the background rgb color.","vector","[0.0,0.0,0.0]","0"
"bg_rgb_bottom","Controls bottom color when bg_gradient is set.","color","[0.2,0.2,0.5]","0"
"bg_rgb_top","Controls top color when bg_grdient is set.","color","[0.0,0.0,0.3]","0"
"button_mode","reports the current button mode index (internal).","integer","0","0"
"button_mode_name","reports the current button mode name.","string","3-Button Viewing","0"
"cache_display","controls whether or not a copy is made of the current display in order to speed updates of menus, etc.","boolean","depends","0"
"cache_frames","controls whether or not each movie frame will be stored in RAM and then replayed from memory.  This is used for previewing a movie at a higher frame rate.  The \"mclear\" command can be used to flush this cache.","boolean","on","0"
"cache_max","controls how many primitive data elements can be retained in the geometry cache (before old/unused entries are expired).","integer","1250000","0"
"cache_memory","special case, currently unsupported setting.","boolean","off","0"
"cache_mode","(integer: 0-2, default 0) controls whether or not PyMOL retains precomputed geometries (such as molecular surfaces) inside the session file.

 0: off
 1: read only
 2: retain all new surfaces computed","","","2"
"cartoon_color","(color, default:-1) controls the color of the cartoon representation.","","","3"
"cartoon_cylindrical_helices","controls whether helices are displayed as cylinders or as a residue-based cartoon.","boolean","off","2"
"cartoon_debug","(integer: 0-3, default: 0) is for development.","","","2"
"cartoon_discrete_colors","affects whether per-residue colors change at or halfway inbetween the C-alpha position. ","boolean","off","2"
"cartoon_dumbbell_length","is a parameter for the dumbbell cross-section.","float","1.6","2"
"cartoon_dumbbell_radius","is a parameter for the dumbbell cross-section.","float","0.16","2"
"cartoon_dumbbell_width","is a parameter for the dumbbell cross-section.","float","0.17","2"
"cartoon_fancy_helices","controls whether dumbbell or oval cross-section is used. ","boolean","off","2"
"cartoon_fancy_sheets","controls whether or not beta-sheet strands have arrows.","boolean","off","2"
"cartoon_flat_cycles","is the number of cycles of \"flattening\" applied to beta-sheets when cartoon_flat_sheets is on.","integer","4","2"
"cartoon_flat_sheets","controls whether or not beta-sheet strands are flattened.","boolean","on","2"
"cartoon_gap_cutoff","cutoff for drawing a dashed cartoon loop across gaps. E.g. if one residue is missing, the cutoff needs to be >=2 (or for 5 missing residues, >= 6, etc.).","integer","0","2"
"cartoon_helix_radius","controls the radius of the cylindrical helix representation.","float","2.25","2"
"cartoon_highlight_color","controls the accent color.","color","-1","2"
"cartoon_ladder_color","controls the color of the ladder representation.","color","-1","2"
"cartoon_ladder_mode","controls how the ladder is drawn.","integer","1","2"
"cartoon_ladder_radius","controls the radius of the ladder representation.","float","0.25","2"
"cartoon_loop_cap","(integer: 0-2, default: 1) controls how loop segments are capped:

0 = not capped
1 = round cap
2 = flat cap","","","2"
"cartoon_loop_quality","controls how many facets are used to draw the loop cross-section.","integer","6","2"
"cartoon_loop_radius","controls the radius of loop segments.","float","0.2","2"
"cartoon_nucleic_acid_as_cylinders","controls whether or not PyMOL draws cartoon nucleic acids as high-quality cylinders or low-quality.","boolean","on","0"
"cartoon_nucleic_acid_color","controls the control of nucleic acid backbone cartoons.","color","-1","2"
"cartoon_nucleic_acid_mode","controls how the nucleic acid backbone is computed:

0 = use P coordinates
1 = use C1* coordinates
2 = use P coordinates and terminal 3' OH (if present)
3 = use P coordinates and terminal 5' OH (if present)
4 = use P coordinates and both terminal 3' and 5' OHs (if present)","integer","4","2"
"cartoon_oval_length","is the length of the oval cross-section.","float","1.35","2"
"cartoon_oval_quality","controls how many facets are used to draw the oval cross-section.","integer","10","2"
"cartoon_oval_width","is the width of the oval cross section.","float","0.25","2"
"cartoon_power","affects cartoon shape.","float","2.0","2"
"cartoon_power_b","affects cartoon shape.","float","0.5","2"
"cartoon_putty_quality","controls how many facets are used.","float","11","2"
"cartoon_putty_radius","is the default putty size.","float","0.4","2"
"cartoon_putty_range","is a putty scaling parameter.","float","2.0","2"
"cartoon_putty_scale_max","is a putty scaling parameter.","float","4.0","2"
"cartoon_putty_scale_min","is a putty scaling parameter.","float","0.6","2"
"cartoon_putty_scale_power","is a putty scaling parameter.","float","1.5","2"
"cartoon_putty_transform","0 is normalized nonlinear scaling; 1 is relative nonlinear scaling; 2 is scaled nonlinear scaling; 3 is absolute nonlinear scaling; 4 is normalized linear scaling; 5 is relative linear scaling; 6 is scaled linear scaling; 7 is absolute linear scaling from the B factor; and, 8 is implied RMS scaling.","integer","0","2"
"cartoon_rect_length","is the length of the rectangle cross-section.","float","1.4","2"
"cartoon_rect_width","is the width of the rectangle cross-section.","float","0.4","2"
"cartoon_refine","controls how much refinement is done of intermediate cartoon coordinates.","integer","5","2"
"cartoon_refine_normals","controls whether or not normals are refined (-1 = automatic).","integer","-1","2"
"cartoon_refine_tips","controls how much the tips of beta-strands are refined (straightened).","integer","10","2"
"cartoon_ring_color","controls the color of ring representation.","color","-1","2"
"cartoon_ring_finder","controls how rings are detected:

1 = all rings with a \"C4*\" or \"C4\" atom (e.g. nucleic acid bases)
2 = all rings with a \"C4\" atom (e.g. carbohydrates)
3 = all rings with a \"C#\" atom where # is any integer
4 = all rings","integer","1","2"
"cartoon_ring_mode","controls how rings are shown:

0 = no ring (use ladders for bases, if applicable)
1 = round-edge rings
2 = square-edge rings
3 = rings with edges
4 = show ring as a sphere of approximate size
5 = show ring centers as small spheres","integer","0","2"
"cartoon_ring_radius","controls the radius of the sphere used to represent rings (-1.0 means compute from ring geometry).","float","-1","2"
"cartoon_ring_transparency","controls the transparency level of rings.  When negative, this setting is controlled by cartoon_transparency.","float","-1.0","2"
"cartoon_ring_width","controls the thickness of the ring representation.","float","0.125","2"
"cartoon_round_helices","controls whether or not PyMOL makes helices round by forcing orientation vectors to point along the helix axes.","boolean"," on","2"
"cartoon_sampling","controls how many facets are used to draw cartoon segments.","integer","7","2"
"cartoon_side_chain_helper","controls whether or not PyMOL will hide backbone lines and sticks when the cartoon representation is visible as well as disabling smoothing for C-alpha coordinates for residues whose side chains are shown.","boolean","off","3"
"cartoon_smooth_cycles","controls how many smoothing cycles are applied to the overall cartoon.","integer","2","2"
"cartoon_smooth_first"," (integer, default: 1) controls the start point for smoothing each segment.","","","2"
"cartoon_smooth_last","controls the stop point for smoothing of each segment.","integer","1","2"
"cartoon_smooth_loops","controls whether or not loop segments are smoothed.  Note that this setting modifies the apparent coordinates of the loop in order to achieve improved aesthetics.","boolean","off","2"
"cartoon_throw","affects cartoon geometry.","float","1.35","2"
"cartoon_trace_atoms","controls whether cartoons are traced through all atoms.  Note that this setting only works well for the loop and tube representations.","boolean","off","2"
"cartoon_transparency","controls the transparency of cartoon representations.","float","0.0","2"
"cartoon_tube_cap","controls the type of cap applied to the tube, and accepts the same values as cartoon_loop_cap.","integer","2","2"
"cartoon_tube_quality","controls how many facets are used in the tube cross-section.","integer","9","2"
"cartoon_tube_radius","controls the radius of tube segments.","float","0.5","2"
"cartoon_use_shader","If true, on screen rendering of cartoons uses the OpenGL shader language (GLSL) to render cartoon. If false, OpenGL v1.x style rendering is used.","boolean","on","0"
"cavity_cull","is the threshold below which isolated clusters of points will be excluded from the surface representation.  These are generally interior pockets inside of proteins.","integer","10","2"
"cgo_debug","Controls whether or not PyMOL shows debugging graphics related to CGO objects.","int","0","0"
"cgo_dot_radius","if greater than zero, controls the default radius for cgo dots when ray tracing.  Otherwise, the radius is computed from cgo_dot_width.","float","-1.0","2"
"cgo_dot_width","controls the width of cgo dots.","float","1.0","2"
"cgo_ellipsoid_quality","Controls cgo-based representation quality of ellipsoids.","integer","-1","0"
"cgo_lighting","controls whether or not PyMOL lights CGOs.","boolean","1","1"
"cgo_line_radius","if greater than zero, controls the default radius for lines when ray tracing.  Otherwise, the radius is computed from cgo_line_width;","float","-1.0","2"
"cgo_line_width","is the default line width for cgo geometries.","float","1.0","2"
"cgo_shader_ub_color","controls the data size of color data sent to the graphics card. If enabled, unsigned bytes are sent which may be faster and smaller.","boolean","0","0"
"cgo_shader_ub_flags","controls whether or not unsigned bytes are used in sending data to the graphics card.","boolean","0","0"
"cgo_shader_ub_normal","controls the data size of normals sent to the graphics card. If enabled, unsigned bytes are sent which may be faster and smaller.","boolean","0","0"
"cgo_sphere_quality","controls the sphere quality to use when loading CGO representations.","integer","1","0"
"cgo_transparency","controls the default transparency of cgo geometries.","float","0.0","2"
"cgo_use_shader","If true, on screen rendering of CGOs uses the OpenGL shader language (GLSL). If false, OpenGL v1.x style rendering is used.","boolean","on","0"
"cif_keepinmemory","Experimental feature. Retain parsed CIF file in memory, for pymol.querying.cif_get_array","boolean","off","0"
"cif_use_auth","When loading mmCIF files, use 'auth_*' identifiers (if present, fallback to 'label_*' identifiers). Note that 'label_asym_id' is always loaded as the 'segi' identifier (if present).","boolean","on","0"
"clamp_colors","controls whether or not colors are clamped to the current color table.","boolean","on","0"
"clean_eletro_mode","controls whether or not electrostatics are taken into account when cleaning.","integer","0","0"
"cmd","- The cmd cant be stop(0), play(1), or toggle(-1).","","","0"
"cone_quality","controls the number of segments used to draw CGO cones.","integer","18","0"
"connect_bonded","controls whether or not bonds can be detected between atoms with explicit bonds in the PDB file.","boolean","off","0"
"connect_cutoff","affects how close atoms need to be in order for bonds to be created.","float","0.4","0"
"connect_mode","controls how bonds are detected when PDB files are loaded.

0 = auto-connect and use explicit valences
1 = use explicit valences only
2 = reserved","integer","0","0"
"coulomb_cutoff","is the cutoff for coulombic calculations.","float","10.0","0"
"coulomb_dielectric","is the dielectric for coulombic calculations.","float","2.0","0"
"coulomb_units_factor","is the conversion factor to give output units (kT/e).","float","557.0","0"
"cromadepth","color by depth, gives stereo effect with ChromaDepth glasses (shader rendering only)","boolean","off","0"
"cull_spheres","No longer used, previously used for performance.","integer","-1","2"
"cylinder_shader_ff_workaround","If true, then the workaround that corrects improper rendering on some Intel and NVidia cards is enabled. Some hardware allow correct rendering when this is disabled, and in that case rendering speed is generally improved.","boolean","on","0"
"cylinders_shader_filter_faces","If true, then the workaround that corrects improper rendering on some Intel and NVidia cards is enabled. Some hardware allow correct rendering when this is disabled, and in that case rendering speed is generally improved.","boolean","on","0"
"dash_as_cylinders","If true, distance measure dashes are drawn as high-quality cylinders instead of lines.","bool","on","0"
"dash_color","Controls the color of dashes used to represent distance measures.","color","-1","2"
"dash_gap","controls the length of the visible dash.","float","0.35","2"
"dash_length","controls the separation between dashes.","float","0.15","2"
"dash_radius","if greater than zero, controls the radius of the dash when ray tracing.  Otherwise, the radius is computed from dash_width.","float","0.0","2"
"dash_round_ends","controls whether or not dashes are rounded on their ends.","boolean","on","2"
"dash_use_shader"," If true, on screen rendering of dashes uses the OpenGL shader language (GLSL). If false, OpenGL v1.x style rendering is used.","boolean","on","0"
"dash_width","controls the width of the lines used to draw dashes.","float","3.0","2"
"debug_pick","a setting for debugging mouse pick problems.","integer","0","0"
"default_2fofc_map_rep","This controls the default map representation when a 2FoFc map is loaded from an MTZ map.","string","volume","0"
"default_buster_names","This is the list of valid column names to be sought when autoloading Buster maps.","string","2FOFCWT PH2FOFCWT FOFCWT PHFOFCWT","0"
"default_fofc_map_rep","This controls the default map representation when a FoFc map is loaded from an MTZ map.","string","volume","0"
"default_phenix_names","This is the list of valid column names to be sought when autoloading Phenix maps.","string","2FOFCWT PH2FOFCWT FOFCWT PHFOFCWT","0"
"default_phenix_no_fill_names","This is the list of valid column names to be sought when autoloading Phenix (no fill) maps.","string","2FOFCWT_no_fil PH2FOFCWT_no_fill None None","0"
"default_refmac_names","This is the list of valid column names to be sought when autoloading Refmac maps.","string","FWT PHWT DELFWT PHDELWT","0"
"defer_builds_mode","controls when the underlying geometry for molecular representations is generated, as follows:  

0: visible geometry for all states of all enabled objects is generated upfront and retained in memory for reuse (highest memory usage).
1: visible geometry for the current states of all enabled objects is generated only when needed and then retained in memory for later reuse.
2: visible geometry for the current state of all enabled objects is generated only when needed and retained for the current state, even in disabled objects.
3: visible geometry for the current state of all enabled objects is generated only when needs and retained for reuse in enabled objects only while in the current state (lowest memory usage).","integer","0","2"
"depth_cue","controls whether or not a depth cue fog effect is used.","boolean","on","0"
"dihedral_color","controls dihedral measurement colors.","color","default","2"
"dihedral_label_position","(float: >0.0, default: 1.2) controls where the dihedral label is drawn.","","","2"
"dihedral_size","(float: >0.0, default: 0.6666) controls how far out the dihedral indicator is drawn.","","","2"
"direct","(float 0.0-1.0, default: 0.45) is the amount of light being emitted from the camera.","","","0"
"dist_counter","is the counter used when auto-generating measurement object names.","integer","0","0"
"distance_exclusion","controls the cutoff of bonds that two atoms must exceed if a distance is to be drawn between them when mode=3 is used as an option to the distance command.","integer","5","0"
"dot_as_sphere"," If true, on screen rendering of dots uses the spheres representation, not dots to draw the dots.","boolean","on","0"
"dot_color","(color, default -1) controls the color of the dot representation.  By default, dots assume the color of the associated atom.","","","3"
"dot_density","controls the density of dots taken from the surface of a sphere.","integer","2","2"
"dot_hydrogens","controls whether or not dots are drawn on hydrogen atoms.","boolean","on","2"
"dot_lighting","controls whether or not dots are lit based on their associated surface normals.  The setting has no effect when ray tracing.","boolean","on","2"
"dot_normals","controls whether or not dots are drawn with normals.  This achieves essentially the same effect as dot_lighting, and it too has no effect when ray tracing.","boolean","on","2"
"dot_radius","if greater than zero, controls the radius of dots.  Otherwise, the dot radius is computed from dot_width based on the pixel size of the current viewport.","float","0.0","2"
"dot_solvent","controls whether we generate dots for the atomic or solvent accessible surface.","boolean","off","2"
"dot_use_shader"," If true, on screen rendering of dots uses the OpenGL shader language (GLSL). If false, OpenGL v1.x style rendering is used.","boolean","on","0"
"dot_width","controls the dot width in viewport pixels.","float","2.0","2"
"draw_frames","controls whether or not each movie frame is rendered using the \"draw\" command.","boolean","on","0"
"draw_mode","0 is the normal OpenGL renderer; 1 is antialised OpenGL; 2 is ray traced without shadows; 3 is ray traced with shadows.","integer","0","0"
"dynamic_measures","controls whether or not PyMOL updates measurement objects when incorporated atoms are moved.","boolean","1","1"
"dynamic_width","controls whether or not PyMOL draws lines thicker for easier viewing.","boolean","on","0"
"dynamic_width_factor","controls the dynamic width scaling.","float","0.06","0"
"dynamic_width_max","controls the dynamic width scaling.","float","2.5","0"
"dynamic_width_min","controls the dynamic width scaling.","float","0.75","0"
"edit_bond_cycle_mode","(integer, default: 1): controls the order in which PyMOL cycles bonds: 0 is single, double, triple; 1 is single, aromatic, double, triple, and 2 is single, double, triple, aromatic.","","","0"
"edit_light","(integer 1-8, default: 1) This setting controls which light may be moved by the mouse.","","","0"
"editor_auto_dihedral","controls whether or not the dihedral value is automatically shown when modifying a dihedral torsion.","boolean","on","0"
"editor_auto_origin","controls whether or not the origin is automatically set when rotating molecules.","boolean","on","0"
"editor_label_fragments","not currently functional.","boolean","off","0"
"ellipsoid_color","Controls ellipsoid coloring. Possible values are any PyMOL color.","color","default","3"
"ellipsoid_probability","Probability value around which to draw the ellipsoids.","float","0.5","2"
"ellipsoid_quality","Controls ellipsoid quality.","integer","1","0"
"ellipsoid_scale","Multiplicative scale factors that controls ellipsoid size scaling. ","float","1.","3"
"ellipsoid_transparency","Controls ellipsoid transparency; 0=opaque, 1=transparent.","float","0","3"
"fast_idle","affects idling behavior and should not normally need to be modified.","float","20,000","0"
"fetch_host","Controls the server from which PDB are fetched. Specify the European PDB server with 'pdbe' and the Japanese PDB server with 'pdbj'. This setting defaults to the US server.","string","pdb; valid values: pdb, pdbe, pdbj","0"
"fetch_path","is the default location for files obtained via the fetch command.","string",".","0"
"field_of_view","(float: 1-179:, default: 20.0) determines the vertical field of view for the window, in degrees.","","","0"
"fit_iterations","is the maximum number of iterations for fitting.","integer","1000","0"
"fit_kabsch","Controls whether the published Kabsch method is used to fit or a faster proprietary method is used.","int","0","0"
"fit_tolerance","is the maximum residual for fitting.","float","0.00001","0"
"float_labels","controls whether or not labels are drawn last without Z-buffer clipping so that they appear to float over the image.  This setting has no effect when ray tracing.","boolean","off","2"
"fog","(float 0-1.0, default: 1.0) controls the fog density.","","","0"
"fog_start","(float 0-1.0, default: 0.45) controls where fog starts.","","","0"
"frame","stores the value of the current movie frame.","integer","1","0"
"full_screen","returns whether or not PyMOL is in full screen mode.  You must use [[command:full_screen]] to change this setting.","boolean","off","0"
"gamma","controls the gamma level applied to each pixel.","float","1.0","0"
"gaussian_b_adjust","is an adjustment made to the temperature factors before computing the gaussian maps.","float","0.0","0"
"gaussian_b_floor","is the minimum temperature factor that for computing gaussian maps.","float","0.0","0"
"gaussian_resolution","is the default resolution for computing gaussian maps.","float","2.0","0"
"geometry_export_mode","An undocumented setting that might have somthing to do with OBJ, VRML, and other 3D output formats.","integer","0","0"
"gradient_max_length","(float, default: 100)","","","2"
"gradient_min_length","(float, default: 2.0)","","","2"
"gradient_min_slope","(float, default: 0.00001)","","","2"
"gradient_normal_min_dot","(float, default: 0.70)","","","2"
"gradient_spacing","(int, default: 3)","","","2"
"gradient_step_size","(float, default: 0.25)","","","2"
"gradient_symmetry","(float, default: 0.0)","","","2"
"grid_max","Controls the maximum number of grid slots.","int","-1","0"
